"cargo","ciudad","link","empresa","fpublicacion"
"Operario de línea de envasado - 320.000 líquidos lunes a sábado 3 turnos en R.Metropolitana - Grupo Norte Chile - Servicios de Aseo y Outsoursing","Santiago Centro","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-linea-de-envasado-320000-liquidos-lunes-a-sabado-3-turnos-en-santiago-centro-3ABE84EF4A0F14A3","Grupo Norte Chile - Servicios de Aseo y Outsoursing","Ayer, 12:08 pm"
"Encargado de Calidad en Obra  en Antofagasta - Esco Ingenieria Ltda.","Antofagasta","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-encargado-de-calidad-en-obra--en-antofagasta-BF84EEF7C46E61B0","Esco Ingenieria Ltda.","10 agosto (actualizada)"
"Jefe de Obra - Mejillones en Antofagasta - Loga","Mejillones","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-obra-mejillones-en-mejillones-325DE97F7A272E88","Loga","20 julio"
"Laboratorista Vial B en Antofagasta - Idiem","Antofagasta","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-laboratorista-vial-b-en-antofagasta-918E627ECBECB285","Idiem","13 julio"
"Cajeros(As) Tesorería Antofagasta en Antofagasta - Servicios Profesionales y Gestión Integral Ltda","Antofagasta","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-cajerosas-tesoreria-antofagasta-en-antofagasta-B2BFA4891FE61D28","Servicios Profesionales y Gestión Integral Ltda","8 julio"
"Encargado de Administración y Finanzas en Antofagasta - Servicios Empresariales Lavoro EIRL","Antofagasta","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-encargado-de-administracion-y-finanzas-en-antofagasta-D569F766041E649F","Servicios Empresariales Lavoro EIRL","3 julio"
"Asistente de Bóveda - Enjoy Antofagasta en Antofagasta - Enjoy Antofagasta","Antofagasta","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-boveda-enjoy-antofagasta-en-antofagasta-C7828E641BD4E0B9","Enjoy Antofagasta","7 julio"
"Operario de bodega turno noche - Sector Pudahuel  en R.Metropolitana - Fuerza Laboral E.S.T. Ltda.","Santiago - Pudahuel","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-bodega-turno-noche-sector-pudahuel--en-santiago-pudahuel-4949814AF6D9CD30","Fuerza Laboral E.S.T. Ltda.","Ayer, 12:09 pm"
"Captador CMR Falabella Part Time - Viña Del Mar en Valparaíso - A&B Gestion","Viña del Mar","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-captador-cmr-falabella-part-time-vina-del-mar-en-vina-del-mar-49E46361B2F84567","A&B Gestion","Ayer, 12:19 pm"
"Práctica Técnico en Administración de Empresas  en R.Metropolitana - Grupo Norte Chile - Servicios de Aseo y Outsoursing","Santiago - Providencia","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-practica-tecnico-en-administracion-de-empresas--en-santiago-providencia-8C6AEA9423DE2865","Grupo Norte Chile - Servicios de Aseo y Outsoursing","Ayer, 12:20 pm"
"Técnico de Párvulos Huechuraba en R.Metropolitana - Vitamina Work Life S.A","Santiago - Huechuraba","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-parvulos-huechuraba-en-santiago-huechuraba-F15DFA327EB7E467","Vitamina Work Life S.A","Ayer, 12:21 pm (actualizada)"
"Ejecutiva Call Center en R.Metropolitana - Vitamina Work Life S.A","Santiago - Las condes","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutiva-call-center-en-santiago-las-condes-2624032C49E83547","Vitamina Work Life S.A","Ayer, 12:21 pm (actualizada)"
"Directora Jardín Infantil en R.Metropolitana - Vitamina Work Life S.A","Santiago - Las condes","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-directora-jardin-infantil-en-santiago-las-condes-2DF01A332F85B8B9","Vitamina Work Life S.A","Ayer, 12:21 pm (actualizada)"
"Educadora de Párvulos en R.Metropolitana - Vitamina Work Life S.A","Santiago - Providencia","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-educadora-de-parvulos-en-santiago-providencia-9B01C335BD8AAD89","Vitamina Work Life S.A","Ayer, 12:21 pm (actualizada)"
"Auxiliar de aseo - (Reemplazo) en R.Metropolitana - Comercializadora Notebookcenter Ltda.","Santiago - San Joaquín","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-aseo-reemplazo-en-santiago-san-joaquin-7975F4F574C27590","Comercializadora Notebookcenter Ltda.","Ayer, 12:19 pm"
"Educadora de Párvulos Recién Egresada en R.Metropolitana - Vitamina Work Life S.A","Santiago - Las condes","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-educadora-de-parvulos-recien-egresada-en-santiago-las-condes-CD2696AF9AB3EB59","Vitamina Work Life S.A","Ayer, 12:21 pm (actualizada)"
"Educadora de Párvulos  Vitacura en R.Metropolitana - Vitamina Work Life S.A","Santiago - Vitacura","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-educadora-de-parvulos-vitacura-en-santiago-vitacura-43194E2029E4DAA4","Vitamina Work Life S.A","Ayer, 12:21 pm (actualizada)"
"Manipuladora de Alimentos comuna Santiago Centro (Metro U. de Chile) en R.Metropolitana - Vitamina Work Life S.A","Santiago - Las condes","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-manipuladora-de-alimentos-comuna-santiago-centro-metro-u-de-chile-en-santiago-las-condes-192F6544FF360129","Vitamina Work Life S.A","Ayer, 12:21 pm (actualizada)"
"Cód. 9729 Analista Funcional en R.Metropolitana - Helpnet Ingeniería","Santiago - Providencia","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-cod-9729-analista-funcional-en-santiago-providencia-ADB55ABE6C20DF22","Helpnet Ingeniería","Ayer, 01:04 pm"
"Ejecutivo de Atención a Cliente Bancario. - 30 y 45 Hrs.  en R.Metropolitana - Teleperformance","Santiago - Huechuraba","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-de-atencion-a-cliente-bancario-30-y-45-hrs--en-santiago-huechuraba-87F4FF9C9F478E94","Teleperformance","Ayer, 01:09 pm"
"Captador CMR Falabella Part Time - Copiapo en Atacama - A&B Gestion","Copiapó","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-captador-cmr-falabella-part-time-copiapo-en-copiapo-A8C93AAEE0077871","A&B Gestion","Ayer, 01:13 pm (actualizada)"
"Captador CMR Falabella Part Time  - La Calera en Valparaíso - A&B Gestion","Valparaíso","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-captador-cmr-falabella-part-time--la-calera-en-valparaiso-70A5A8FC7922259D","A&B Gestion","Ayer, 01:13 pm (actualizada)"
"Manipuladora de Alimentos (Metro Príncipe de Gales) en R.Metropolitana - Vitamina Work Life S.A","Santiago - Las condes","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-manipuladora-de-alimentos-metro-principe-de-gales-en-santiago-las-condes-0B27A5963BAD4924","Vitamina Work Life S.A","Ayer, 12:21 pm (actualizada)"
"Manipuladora de Alimentos Comuna Huechuraba en R.Metropolitana - Vitamina Work Life S.A","Santiago - Huechuraba","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-manipuladora-de-alimentos-comuna-huechuraba-en-santiago-huechuraba-59E0C46939F04618","Vitamina Work Life S.A","Ayer, 12:21 pm (actualizada)"
"Vendedor en terreno Seguridad Industrial - Antofagasta en Antofagasta - HR Consulting","Antofagasta","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-vendedor-en-terreno-seguridad-industrial-antofagasta-en-antofagasta-FE6B63BE232ED581","HR Consulting","Ayer, 12:49 pm (actualizada)"
"Captador CMR Falabella Part Time - Los Angeles en Bíobío - A&B Gestion","Los Ángeles","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-captador-cmr-falabella-part-time-los-angeles-en-los-angeles-CCD0B0B8C9805CE2","A&B Gestion","Ayer, 01:13 pm (actualizada)"
"Captador CMR Falabella Full Time - Copiapó en Atacama - A&B Gestion","Copiapó","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-captador-cmr-falabella-full-time-copiapo-en-copiapo-16DC322CF34E1C4E","A&B Gestion","Ayer, 01:13 pm (actualizada)"
"Captador CMR Falabella Full Time - Los Angeles en Bíobío - A&B Gestion","Los Ángeles","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-captador-cmr-falabella-full-time-los-angeles-en-los-angeles-05B517D0A809800B","A&B Gestion","Ayer, 01:13 pm (actualizada)"
"Captador/a Comercial Santiago CMR FALABELLA en R.Metropolitana - A&B Gestion","Santiago - Providencia","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-captadora-comercial-santiago-cmr-falabella-en-santiago-providencia-08700B05B1B417B6","A&B Gestion","Ayer, 01:13 pm (actualizada)"
"Captador CMR Falabella Part Time - Rancagua  en Libertador B. O Higgins - A&B Gestion","Rancagua","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-captador-cmr-falabella-part-time-rancagua--en-rancagua-91FB8985F2C0BBEF","A&B Gestion","Ayer, 01:13 pm (actualizada)"
"Captador CMR Falabella - Castro en Los Lagos - A&B Gestion","Castro","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-captador-cmr-falabella-castro-en-castro-9CC7F524A433DB8F","A&B Gestion","Ayer, 01:14 pm (actualizada)"
"Ingeniero en Prevención de Riesgo. en R.Metropolitana - Atcom","Santiago - Providencia","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-prevencion-de-riesgo-en-santiago-providencia-09CF9A10ED5476D6","Atcom","Ayer, 01:14 pm"
"Captador CMR Falabella - Quilpué en Valparaíso - A&B Gestion","Quilpué","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-captador-cmr-falabella-quilpue-en-quilpue-9A3E3692F71E92F3","A&B Gestion","Ayer, 01:14 pm (actualizada)"
"Secretaria para oficina ubicada en Quilicura en R.Metropolitana - MAM Promociones","Santiago - Quilicura","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-secretaria-para-oficina-ubicada-en-quilicura-en-santiago-quilicura-C2FDAF1AB3AFD494","MAM Promociones","Ayer, 01:15 pm"
"Cajera - La Florida en R.Metropolitana - DarSalud","Santiago - La Florida","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-cajera-la-florida-en-santiago-la-florida-DF8F7D29C3BC8230","DarSalud","Ayer, 01:18 pm (actualizada)"
"Técnico de Certificación. -  Tecnico. en R.Metropolitana - Atcom","Santiago - Providencia","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-certificacion--tecnico-en-santiago-providencia-3054FFDB041034FC","Atcom","Ayer, 01:26 pm"
"Administrador/a - Contador/a en R.Metropolitana - ERGOWEAR","Santiago - Recoleta","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-administradora-contadora-en-santiago-recoleta-C41FBF1985DA56A0","ERGOWEAR","Ayer, 01:45 pm (actualizada)"
"Guardia de seguridad en R.Metropolitana - Coservi","Santiago - Providencia","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-guardia-de-seguridad-en-santiago-providencia-3E20FF1DB05D697A","Coservi","Ayer, 01:54 pm (actualizada)"
"Asistente de Floreria  - Con o sin Experiencia en R.Metropolitana - Funeraria Hogar Inmemoria","Santiago - Providencia","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-floreria--con-o-sin-experiencia-en-santiago-providencia-1DEB26DDF6EEA1F1","Funeraria Hogar Inmemoria","Ayer, 02:03 pm"
"Practicante - Prevención de riesgos en R.Metropolitana - Ethercom Ingeniería y Servicios de Telecomunicaciones Limitada","Santiago - Quilicura","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-prevencion-de-riesgos-en-santiago-quilicura-D484FD7F4260EDF8","Ethercom Ingeniería y Servicios de Telecomunicaciones Limitada","Ayer, 03:15 pm"
"junior en R.Metropolitana - sociedad comercial lopez jara ltda","Santiago - Estación Central","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-junior-en-santiago-estacion-central-CCA578321DA40724","sociedad comercial lopez jara ltda","Ayer, 03:15 pm"
"Profesor (a) Orientador y/o Religión en R.Metropolitana - Colegio San Antonio","Colina","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-profesor-a-orientador-yo-religion-en-colina-6042F81E0807CED9","Colegio San Antonio","9 julio"
"Educadora de párvulo comuna de Colina.  en R.Metropolitana - Fundación Integra","Colina","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-educadora-de-parvulo-comuna-de-colina--en-colina-7529A0CD0AECFA4E","Fundación Integra","7 julio"
"Profesor/a de Inglés - 44 horas en R.Metropolitana - López y Olguin","Lampa","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-profesora-de-ingles-44-horas-en-lampa-64F85C2E50AD369B","López y Olguin","3 julio"
"Encuestador Telefonico en R.Metropolitana - Aneg Chile","Santiago - Las condes","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-encuestador-telefonico-en-santiago-las-condes-3D4826DB250CB719","Aneg Chile","Ayer, 03:15 pm"
"Proyectista Eléctrico en Bíobío - IMS LTDA","Talcahuano","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-proyectista-electrico-en-talcahuano-E15104A4C221A334","IMS LTDA","Ayer, 03:15 pm"
"Tornero experiencia mecanizados - Residencia región de Tarapaca en Tarapacá - Claudio Ramos F. T. EIRL","Iquique","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-tornero-experiencia-mecanizados-residencia-region-de-tarapaca-en-iquique-CB14408764824767","Claudio Ramos F. T. EIRL","Ayer, 03:15 pm"
"Contador general en R.Metropolitana - Isapre Optima","Santiago Centro","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-contador-general-en-santiago-centro-D034F6D810662D86","Isapre Optima","Ayer, 03:15 pm"
"Operario/a de producción - KFC Rotonda Atenas (Colón) Fines de Semana (20hrs) en R.Metropolitana - Kentucky Fried Chicken","Santiago - Las condes","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-operarioa-de-produccion-kfc-rotonda-atenas-colon-fines-de-semana-20hrs-en-santiago-las-condes-0F27832E95E7D8E3","Kentucky Fried Chicken","Ayer, 03:15 pm"
"Jefe de Ventas - Ciudad de Concepcion en Bíobío - Attachment","Concepción","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-ventas-ciudad-de-concepcion-en-concepcion-FC7118107E7EBAC5","Attachment","8 julio"
"vendedor Tecnico comisionista - BIO BIO en Bíobío - proyectos Bio Bio","Concepción","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-vendedor-tecnico-comisionista-bio-bio-en-concepcion-6DAD792E4D7D3440","proyectos Bio Bio","7 julio"
"Visual Retail VIII region - Chillan Talcahuano Los angeles en Bíobío - Mimagen","Chillán","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-visual-retail-viii-region-chillan-talcahuano-los-angeles-en-chillan-ABD24F8EDB2C5746","Mimagen","2 julio"
"OPERADOR LOGISTICO en Antofagasta - GRUPO EXPRO","Antofagasta","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-operador-logistico-en-antofagasta-2945A1208C48F9DE","GRUPO EXPRO","9 julio"
"conductor bodeguero nocturo en Antofagasta - Deprisacargo","Antofagasta","http://www.computrabajo.cl/ofertas-de-trabajo/oferta-de-trabajo-de-conductor-bodeguero-nocturo-en-antofagasta-A9962744E28F6E32","Deprisacargo","6 julio"
